,Likes,Comments,Female,Male,Age,Sunglasses,Beard,Mustache,Smile,Eyeglasses,SURPRISED,ANGRY,CONFUSED,HAPPY,CALM,DISGUSTED,SAD,Objects,Filters,Website,Followers,Follows
2004139606,10.6875,0.1875,1.3125,1.125,5.711805555555555,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.125,4.0625,0.3125,1.0,46.0,16.0
531942752,24.907692307692308,3.5692307692307694,3.046153846153846,1.1538461538461537,12.857811355311355,0.046153846153846156,0.0,0.0,2.6307692307692307,0.5538461538461539,0.015384615384615385,0.0,0.0,1.2,0.0,0.0,0.015384615384615385,5.0,0.27692307692307694,0.0,214.0,66.0
13745951,5.501408450704226,0.4915492957746479,2.8732394366197185,1.647887323943662,13.282840047276661,0.4352112676056338,0.2535211267605634,0.18591549295774648,2.771830985915493,0.6676056338028169,0.036619718309859155,0.0028169014084507044,0.011267605633802818,1.171830985915493,0.0028169014084507044,0.0014084507042253522,0.028169014084507043,5.250704225352113,0.9309859154929577,0.0,161.0,720.0
1097967773,5.925531914893617,0.723404255319149,1.2127659574468086,0.9468085106382979,3.3351063829787235,0.05319148936170213,0.07446808510638298,0.09574468085106383,1.0106382978723405,0.1276595744680851,0.03900709219858156,0.0035460992907801418,0.0,0.41843971631205673,0.0,0.0,0.0070921985815602835,4.51418439716312,0.44680851063829785,0.0,53.0,282.0
235671446,10.533960995292535,0.5756556825823806,0.35911230665770005,1.422326832548756,12.773841547378872,0.20376597175521183,0.6395427034297243,0.5770006724949562,0.5810356422326832,0.31069266980497645,0.02757229320780094,0.010759919300605245,0.008069939475453935,0.24815063887020847,0.004034969737726967,0.0013449899125756557,0.01815736381977135,3.8076664425016813,0.6375252185608608,1.0,1318.0,2997.0
2686680287,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,0.0,1.0,2.0
2264409557,35.604790419161674,1.6047904191616766,0.2994011976047904,0.46706586826347307,4.558153138168108,0.16167664670658682,0.10179640718562874,0.09580838323353294,0.18562874251497005,0.17964071856287425,0.029940119760479042,0.00998003992015968,0.0,0.07984031936127745,0.001996007984031936,0.003992015968063872,0.011976047904191617,3.0179640718562872,0.6367265469061876,1.0,105.0,513.0
3988856,10.023102310231023,1.2871287128712872,0.4752475247524752,0.5148514851485149,6.322703520352035,0.11386138613861387,0.10396039603960396,0.1188118811881188,0.4900990099009901,0.13861386138613863,0.0165016501650165,0.0,0.006600660066006601,0.18976897689768976,0.0016501650165016502,0.0016501650165016502,0.00825082508250825,3.2508250825082508,0.19966996699669967,1.0,732.0,610.0
3069744,13.218390804597702,2.1408045977011496,1.7672413793103448,1.5,14.805226008027736,0.23275862068965517,0.5862068965517241,0.47413793103448276,1.543103448275862,0.5,0.031609195402298854,0.005747126436781609,0.008620689655172414,0.5890804597701149,0.011494252873563218,0.0028735632183908046,0.05172413793103448,3.9482758620689653,0.46839080459770116,0.0,311.0,350.0
3600687598,3.0,0.2,0.0,1.8,20.3,0.0,1.2,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,14.0,5.0
6734387,67.18722466960352,1.724669603524229,3.5881057268722465,0.7863436123348018,15.946184086960516,0.5088105726872246,0.13215859030837004,0.11894273127753303,2.6299559471365637,0.6277533039647577,0.05947136563876652,0.006607929515418502,0.0,1.1145374449339207,0.0022026431718061676,0.0,0.013215859030837005,4.940528634361233,0.4118942731277533,0.0,1047.0,465.0
1441644483,16.884615384615383,0.6730769230769231,0.6923076923076923,1.0961538461538463,9.499198717948719,0.34615384615384615,0.40384615384615385,0.17307692307692307,0.75,0.34615384615384615,0.0,0.0,0.019230769230769232,0.3076923076923077,0.019230769230769232,0.0,0.019230769230769232,3.7115384615384617,0.21153846153846154,1.0,433.0,53.0
31447990,14.868632707774799,1.2466487935656836,0.546916890080429,0.4584450402144772,5.532410953657602,0.20911528150134048,0.1447721179624665,0.08042895442359249,0.7238605898123325,0.21715817694369974,0.002680965147453083,0.005361930294906166,0.0,0.2761394101876676,0.0,0.0,0.010723860589812333,4.638069705093834,0.5630026809651475,1.0,191.0,377.0
1972315908,5.0,0.0,3.0,0.0,6.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,1.0
3175192849,2.0,2.0,3.0,0.0,43.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
33746400,6.891891891891892,0.5405405405405406,0.4864864864864865,0.16216216216216217,5.554054054054054,0.16216216216216217,0.08108108108108109,0.08108108108108109,0.5675675675675675,0.16216216216216217,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,4.108108108108108,0.7567567567567568,0.0,116.0,37.0
55281515,8.629969418960245,0.4892966360856269,2.697247706422018,1.2935779816513762,18.662684953510638,0.3577981651376147,0.29357798165137616,0.13761467889908258,2.2844036697247705,0.9357798165137615,0.039755351681957186,0.0030581039755351682,0.0061162079510703364,0.981651376146789,0.0061162079510703364,0.0,0.024464831804281346,4.948012232415902,0.3425076452599388,0.0,206.0,336.0
33420910,14.673202614379084,1.5294117647058822,0.9529411764705882,0.47843137254901963,8.327578068264344,0.1450980392156863,0.08235294117647059,0.10196078431372549,0.7843137254901961,0.22745098039215686,0.022222222222222223,0.00392156862745098,0.00392156862745098,0.3176470588235294,0.006535947712418301,0.00130718954248366,0.00784313725490196,4.258823529411765,0.5947712418300654,0.0,271.0,769.0
451627351,1.5207667731629393,0.16613418530351437,0.5175718849840255,2.281150159744409,22.136883209087685,0.3450479233226837,0.4984025559105431,0.41214057507987223,0.536741214057508,0.2779552715654952,0.038338658146964855,0.003194888178913738,0.04472843450479233,0.2779552715654952,0.03194888178913738,0.006389776357827476,0.019169329073482427,4.210862619808307,0.48242811501597443,0.0,274.0,348.0
